tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
570301031407624196,negative,1.0,Bad Flight,0.7033,Virgin America,N/A,jnardino,N/A,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",N/A,2015-02-24 11:15:36 -0800,N/A,Pacific Time (US & Canada)
570300817074462722,negative,1.0,Can't Tell,1.0,Virgin America,N/A,jnardino,N/A,0,@VirginAmerica and it's a really big bad thing about it,N/A,2015-02-24 11:14:45 -0800,N/A,Pacific Time (US & Canada)
570300767074181121,negative,1.0,Can't Tell,0.6842,Virgin America,N/A,jnardino,N/A,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",N/A,2015-02-24 11:14:33 -0800,N/A,Pacific Time (US & Canada)
570282469121007616,negative,0.6842,Late Flight,0.3684,Virgin America,N/A,smartwatermelon,N/A,0,@VirginAmerica SFO-PDX schedule is still MIA.,N/A,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada)
570276917301137409,negative,1.0,Bad Flight,1.0,Virgin America,N/A,heatherovieda,N/A,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,N/A,2015-02-24 09:39:46 -0800,this place called NYC,Eastern Time (US & Canada)
570265883513384960,negative,0.6705,Can't Tell,0.3614,Virgin America,N/A,MISSGJ,N/A,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,N/A,2015-02-24 08:55:56 -0800,N/A,N/A
570256553502068736,negative,1.0,Customer Service Issue,0.3557,Virgin America,N/A,ayeevickiee,N/A,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,N/A,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada)
570249102404923392,negative,1.0,Customer Service Issue,1.0,Virgin America,N/A,Leora13,N/A,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,N/A,2015-02-24 07:49:15 -0800,N/A,N/A
570239632807370753,negative,1.0,Can't Tell,0.6614,Virgin America,N/A,meredithjlynn,N/A,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,N/A,2015-02-24 07:11:37 -0800,N/A,N/A
570207886493782019,negative,1.0,Bad Flight,1.0,Virgin America,N/A,blackjackpro911,N/A,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,"[42.361016, -71.02000488]",2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",N/A
570114021854212096,negative,1.0,Flight Booking Problems,1.0,Virgin America,N/A,jordanpichler,N/A,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",N/A,2015-02-23 22:52:29 -0800,N/A,Vienna
570088404156698625,negative,1.0,Customer Service Issue,1.0,Virgin America,N/A,Cuschoolie1,N/A,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!","[33.94209449, -118.40410103]",2015-02-23 21:10:41 -0800,Washington DC,Quito
570084582780899328,negative,1.0,Customer Service Issue,1.0,Virgin America,N/A,amanduhmccarty,N/A,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",N/A,2015-02-23 20:55:30 -0800,N/A,Pacific Time (US & Canada)
570035876845084672,negative,1.0,Customer Service Issue,1.0,Virgin America,N/A,DannyDouglass,N/A,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,N/A,2015-02-23 17:41:58 -0800,"San Francisco, CA",Pacific Time (US & Canada)
570025482344898560,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,N/A,will_lenzenjr,N/A,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",N/A,2015-02-23 17:00:40 -0800,Iowa City,Central Time (US & Canada)
